,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
373,Aloleng,0,PH,1547965364,82,16.13,119.78,29.34,2.31
374,Lorengau,92,PG,1547964981,100,-2.02,147.27,26.69,4.46
375,Paris,92,FR,1547962200,93,48.86,2.35,2.0,2.6
376,Hasaki,20,JP,1547962200,54,35.73,140.83,13.0,4.1
377,Sisimiut,48,GL,1547965049,100,66.94,-53.67,-25.11,0.71
378,Bull Savanna,68,JM,1547965366,89,17.89,-77.59,20.69,2.06
379,Ridgecrest,1,US,1547963760,82,35.62,-117.67,7.8,3.1
380,Elko,1,US,1547963760,84,40.83,-115.76,1.7,2.1
381,Khor,64,RU,1547965367,76,47.88,134.96,-13.66,2.11
382,Gisborne,0,NZ,1547965367,46,-38.66,178.02,25.59,3.81
383,Mackay,90,CA,1547964000,92,53.65,-115.58,-14.0,2.1
384,Maltahohe,0,NA,1547965368,11,-24.83,16.98,17.69,4.56
385,Mananjary,68,MG,1547965368,96,-19.16,46.8,20.89,2.76
386,Olinda,90,EC,1547964000,94,-2.03,-79.75,24.0,2.6
387,Poum,90,MK,1547964000,99,41.28,20.71,1.0,0.5
388,Kihei,20,US,1547964540,81,20.76,-156.45,22.2,4.1
389,Sambava,92,MG,1547965370,100,-14.27,50.17,24.49,6.46
390,Nuuk,80,GL,1547963400,72,64.17,-51.74,-9.0,2.1
391,Huarmey,0,PE,1547965026,92,-10.07,-78.15,16.34,0.71
392,San Ramon de la Nueva Oran,36,AR,1547965371,94,-23.13,-64.33,18.19,0.91
393,Puerto Leguizamo,92,CO,1547965371,99,-0.19,-74.78,21.79,1.16
394,Honiara,48,SB,1547965372,83,-9.43,159.96,28.04,1.06
395,Leshukonskoye,64,RU,1547965372,81,64.9,45.76,-12.26,1.56
396,Talara,8,PE,1547965372,95,-4.58,-81.27,20.84,1.81
397,Jiayuguan,8,CN,1547965373,81,39.77,98.29,-8.76,1.16
398,Nome,1,US,1547963700,66,30.04,-94.42,2.8,7.2
399,Kupang,40,ID,1547964000,83,-10.16,123.6,29.0,2.1
400,Puri,75,ID,1547964000,66,-7.54,112.45,32.0,3.1
401,Rio de Jesus,0,PA,1547965374,68,7.98,-81.16,25.29,2.51
402,Gopalpur,0,IN,1547965374,70,25.6,86.94,21.59,2.06
403,Monrovia,40,LR,1547962200,94,6.33,-10.8,24.0,1.41
404,Harbour Breton,48,CA,1547965375,100,47.48,-55.8,-8.06,6.01
405,Haines Junction,36,CA,1547964979,71,60.75,-137.51,-25.01,1.01
406,Varca,0,IN,1547962200,45,15.22,73.92,30.0,3.6
407,Taltal,0,CL,1547965376,96,-25.41,-70.49,13.69,0.81
408,Vila,0,IT,1547963400,100,45.18,8.4,-1.0,2.1
409,Matay,48,EG,1547965377,92,28.42,30.79,4.94,1.76
410,Brae,12,GB,1547963400,93,60.4,-1.35,6.0,4.1
411,Balikpapan,40,ID,1547964000,79,-1.24,116.86,30.0,1.5
412,Saint Petersburg,75,RU,1547964000,85,59.94,30.32,-4.0,4.0
413,Nantucket,90,US,1547963580,100,41.28,-70.1,2.8,7.7
414,Talaya,90,RU,1547962200,85,55.79,84.89,-4.0,7.0
415,Vissenbjerg,44,DK,1547963400,86,55.38,10.14,-1.0,2.66
416,Omsukchan,88,RU,1547965063,34,62.53,155.8,-31.46,1.61
417,Wanaka,56,NZ,1547964795,66,-44.7,169.14,12.54,4.76
418,Codrington,75,AU,1547960400,55,-28.95,153.24,34.0,4.6
419,Daru,0,SL,1547965117,91,7.99,-10.85,21.69,0.51
420,Saint Anthony,90,US,1547964480,88,43.97,-111.68,0.6,2.41
421,Wencheng,80,CN,1547965380,83,27.79,120.09,11.19,1.06
422,Mount Pleasant,75,US,1547964360,66,33.16,-94.97,-0.2,5.1
423,Nur,68,PL,1547965381,86,52.67,22.32,-3.96,2.91
424,Aracruz,0,BR,1547960400,78,-19.82,-40.27,26.0,3.1
425,Boa Vista,75,BR,1547964000,65,2.82,-60.67,28.0,4.6
426,Waddan,100,LY,1547965382,95,29.16,16.14,10.64,1.61
427,Atherton,90,GB,1547963400,93,53.52,-2.49,4.0,0.5
428,Umm Lajj,0,SA,1547964971,100,25.02,37.27,16.19,1.76
429,Verkhoyansk,48,RU,1547965052,0,67.55,133.39,-46.66,1.16
430,Belyy Yar,56,RU,1547964000,84,53.6,91.39,-16.0,1.51
431,Acaponeta,0,MX,1547965384,95,22.49,-105.36,20.49,2.36
432,San Antonio,90,CL,1547960400,87,-33.58,-71.61,15.0,1.0
433,Mata,56,CU,1547963400,93,22.63,-79.93,18.0,1.5
434,Voh,12,NC,1547965385,89,-20.95,164.69,26.99,8.61
435,Muros,40,ES,1547962200,93,42.77,-9.06,6.0,1.0
436,Christchurch,0,NZ,1547964000,30,-43.53,172.64,22.0,8.2
437,Kodinsk,76,RU,1547965386,70,58.6,99.18,-6.11,2.01
438,Dymer,80,UA,1547964600,100,50.78,30.31,-11.0,2.0
439,Arlit,24,NE,1547964965,43,18.74,7.39,16.09,2.51
440,Sorland,36,NO,1547965023,100,67.67,12.69,2.44,10.36
441,Mayo,90,CA,1547960400,84,63.59,-135.9,-19.0,1.16
442,Berlevag,88,NO,1547965033,100,70.86,29.09,-5.51,3.71
443,Le Pradet,75,FR,1547962200,100,46.44,1.83,4.0,2.6
444,Pangody,32,RU,1547965142,67,65.85,74.49,-20.46,2.16
445,Bonga,20,ET,1547965388,56,7.26,36.25,19.44,0.76
446,Salalah,0,OM,1547963400,38,17.01,54.1,25.0,9.3
447,Syedove,12,UA,1547965389,93,47.08,38.16,-7.16,4.21
448,Auki,24,NG,1547965017,56,12.18,6.51,15.89,1.81
449,Stokmarknes,64,NO,1547965389,100,68.56,14.91,-3.51,1.81
450,Zhangjiakou,0,CN,1547965390,25,40.77,114.88,-5.16,5.46
451,Laiyang,0,CN,1547965390,31,36.98,120.7,1.84,7.01
452,Bara,0,NG,1547965062,52,10.41,10.6,14.24,1.66
453,Victoria Point,0,AU,1547964000,58,-27.58,153.3,32.0,6.7
454,Havelock,1,US,1547963880,87,34.88,-76.9,18.3,7.7
455,Turukhansk,64,RU,1547965047,83,65.8,87.96,-14.86,4.81
456,Konstantinovka,92,MD,1547965392,92,47.99,28.86,-6.06,3.61
457,Pangai,75,TO,1547964000,83,-19.8,-174.35,28.0,5.1
458,Mokhotlong,20,LS,1547965392,77,-29.29,29.06,9.84,1.21
459,Ormara,80,PK,1547965393,100,25.21,64.64,20.09,0.71
460,Yining,92,CN,1547965393,99,29.04,114.56,6.09,1.46
461,Salamanca,88,ES,1547962200,93,40.97,-5.66,2.0,1.5
462,Asekeyevo,88,RU,1547965394,96,53.57,52.8,-4.16,6.31
463,Grand-Santi,0,GF,1547965394,97,4.27,-54.38,22.84,1.31
464,Havre-Saint-Pierre,40,CA,1547960400,61,50.23,-63.6,-31.0,3.1
465,Oranjemund,0,ZA,1547964996,93,-28.55,16.43,16.89,10.26
466,Celle,20,DE,1547963400,92,52.62,10.08,-5.0,2.6
467,Adrar,0,DZ,1547960400,35,27.87,-0.29,5.0,3.6
468,Calabozo,12,VE,1547965396,60,8.92,-67.43,24.84,6.01
469,Mahibadhoo,12,MV,1547965001,100,3.78,72.97,27.04,5.11
470,Tuatapere,56,NZ,1547964926,100,-46.13,167.69,12.29,11.36
471,Sechura,0,PE,1547965396,90,-5.56,-80.82,22.24,3.86
472,Careiro da Varzea,0,BR,1547964000,100,-3.2,-59.81,24.0,1.31
473,Ossora,88,RU,1547965397,93,59.24,163.07,-0.91,9.61
474,Japura,12,ID,1547965398,51,-0.42,102.29,33.29,1.21
475,La Libertad,0,PE,1547964000,67,-16.38,-71.56,14.0,1.31
476,Tazmalt,20,DZ,1547960400,87,36.39,4.4,6.0,6.7
477,Jambi,20,ID,1547965400,52,-1.6,103.62,34.34,3.86
478,Jega,48,NG,1547965400,35,12.22,4.38,21.29,3.76
479,Olovyannaya,0,RU,1547965400,54,50.94,115.59,-4.96,4.06
480,Ostrovnoy,8,RU,1547964989,77,68.05,39.51,-24.76,1.21
481,Aguada de Pasajeros,20,CU,1547963940,93,22.38,-80.85,19.0,2.6
482,Rossosh,64,RU,1547965401,89,50.2,39.58,-9.71,2.76
483,Garden City,90,US,1547964180,95,40.73,-73.63,3.3,6.2
484,Atasu,12,KZ,1547965402,89,48.68,71.64,-5.16,3.91
485,Banda Aceh,64,ID,1547964979,80,5.56,95.32,28.34,2.31
486,Koutiala,0,ML,1547965050,39,12.39,-5.46,14.39,4.31
487,Severnoye,80,RU,1547965403,93,54.09,52.54,-5.26,5.71
488,Vorukh,48,KG,1547965403,85,39.85,70.57,-4.76,0.76
489,Abnub,0,EG,1547960400,81,27.27,31.15,6.0,2.6
490,Sabha,0,LY,1547965112,93,27.03,14.43,9.34,3.66
491,Neuquen,0,AR,1547964000,50,-38.95,-68.06,25.0,2.1
492,Hendaye,75,FR,1547962200,81,43.37,-1.77,8.0,3.6
493,Kahta,0,TR,1547963400,91,37.78,38.62,0.0,3.1
494,Halifax,90,CA,1547964000,71,44.65,-63.58,-14.0,4.1
495,Tpig,0,RU,1547965405,60,41.78,47.59,-12.41,0.86
496,Jacareacanga,56,BR,1547965121,91,-6.22,-57.76,24.39,1.26
497,Vila Franca do Campo,20,PT,1547962200,87,37.72,-25.43,11.0,2.6
498,Marzuq,0,YE,1547964996,72,14.4,46.47,15.84,1.51
499,Shulan,64,CN,1547965406,55,44.41,126.94,-11.11,3.51
500,La Ronge,20,CA,1547960400,73,55.1,-105.3,-34.0,2.6
501,Tikrit,0,IQ,1547965406,74,34.62,43.68,0.59,1.21
502,Dubrovytsya,76,UA,1547965407,87,51.57,26.57,-5.31,1.96
503,Pochutla,76,MX,1547965407,100,15.74,-96.47,26.04,0.66
504,Antofagasta,75,CL,1547964000,88,-23.65,-70.4,17.0,0.5
505,Ninghai,44,CN,1547964000,59,29.29,121.42,10.0,4.0
506,Payo,32,ID,1547965408,63,-3.75,103.64,31.49,5.46
507,Biskamzha,64,RU,1547965409,55,53.45,89.53,-8.46,1.16
508,Ginda,56,IN,1547965409,73,30.69,78.49,8.84,0.86
509,Alekseyevka,0,RU,1547964000,85,53.25,50.49,-9.0,3.0
510,Ampanihy,32,MG,1547965410,79,-24.69,44.75,29.19,2.11
511,Arklow,90,IE,1547960400,100,52.79,-6.14,5.0,2.1
512,Klaksvik,20,FO,1547963400,80,62.23,-6.59,4.0,6.2
513,Loiza,20,PR,1547963760,78,18.43,-65.88,23.3,6.56
514,Teeli,20,RU,1547965090,55,51.01,90.2,-13.41,0.31
515,Wajima,75,JP,1547964000,100,37.4,136.9,4.0,2.6
516,Los Llanos de Aridane,0,ES,1547962200,77,28.66,-17.92,17.0,6.2
517,Lufilufi,40,WS,1547960400,66,-13.87,-171.6,32.0,5.1
518,Serebryanyy Bor,44,RU,1547965412,70,56.8,124.8,-27.71,1.51
519,Cabo San Lucas,5,MX,1547963160,59,22.89,-109.91,18.0,3.1
520,Saldanha,0,PT,1547964959,93,41.42,-6.55,0.54,2.66
521,Najran,5,SA,1547964000,46,17.54,44.22,12.0,3.1
522,San Benedetto del Tronto,8,IT,1547959800,93,42.95,13.88,5.0,2.6
523,Mezotur,90,HU,1547963100,92,47.0,20.63,-1.0,3.1
524,Glubczyce,24,PL,1547962200,92,50.2,17.83,-5.0,1.5
525,Carutapera,80,BR,1547965057,95,-1.2,-46.02,25.39,2.51
526,Bangkalan,75,ID,1547964000,66,-7.05,112.74,32.0,3.1
527,Meulaboh,76,ID,1547965053,100,4.14,96.13,26.39,2.61
528,Dera Bugti,64,PK,1547965416,90,29.03,69.15,15.34,1.41
529,Pangnirtung,12,CA,1547964851,55,66.15,-65.72,-35.81,1.51
530,Oriximina,92,BR,1547965416,100,-1.77,-55.87,23.09,0.41
531,Inongo,44,CD,1547965416,95,-1.93,18.29,23.39,1.21
532,Plotnikovo,90,RU,1547964000,80,55.04,83.4,-1.0,5.0
533,Rundu,32,NA,1547965417,90,-17.91,19.77,20.24,3.11
534,Boshnyakovo,44,RU,1547965417,96,49.65,142.17,-14.56,3.41
